,shar,1,shar,^([0-9\.]+)$,a,gnu,sharutils,\1,,,,,,,
,tar,1,tar,tar \(GNU tar\) ([0-9]\.[0-9][0-9]*),a,gnu,tar,\1,,,,,,,
,rmt,1,rmt,rmt \(GNU tar\) ([0-9]\.[0-9][0-9]*),a,gnu,tar,\1,,,,,,,
,cdrdao,1,cdrdao,^([0-9\.]+)$,a,andreas_mueller,cdrdao,\1,,,,,,,
,mkisofs,1,mkisofs,^([0-9\.]+)a([0-9\.]+)$,a,cdrtools,cdrecord,\1-alpha\2,,,,,,,
,gpg,1,gpg.*,Version: GnuPG v([0-9\.]+) ,a,gnupg,gnupg,\1,,,,,,,
,gpg-agent,1,gpg-agent,^([0-9][0-9]*(\.[0-9]+)+),a,gnupg,gnupg,\1,,,,,,,
,vim,1,vim,VIM - Vi IMproved ([0-9\.]+) ,a,vim,vim,\1,,,,,,,
,bash,1,bash,Bash version ([0-9\.]+),a,bash,bash,\1,,,,,,,
,gs,1,gs,ghostscript/([0-9\.]+),a,ghostscript,ghostscript,\1,,,,,,,
,gocr,1,gocr,Optical Character Recognition --- gocr ([0-9\.]+) ,a,gocr,optical_character_recognition_utility,\1,,,,,,,
,pdftops,1,pdftops,^([0-9\.]+)$,a,poppler,poppler,\1,,,,,,,
,ncftp,1,ncftp,^.*NcFTP ([0-9\.]+)/([0-9]+) .*,a,ncftp_software,ncftp,\1,\2,,,,,,
,version,1,version,^Linux version ([0-9a-z.-]*) \([^@]*@[^)]*).*,o,linux,linux_kernel,\1,,,,,,,
,gimp,1,gimp.*,GIMP ([0-9]*\.[0-9]*\.[0-9]*),a,gimp,gimp,\1,,,,,,,
,cdrdao,1,cdrdao,^([0-9]\.[0-9\.]*)[^a-z]*$,a,andreas_mueller,cdrdao,\1,,,,,,,
,toc2cue,1,toc2cue,^([0-9]\.[0-9\.]*)[^a-z]*$,a,andreas_mueller,cdrdao,\1,,,,,,,
,toc2cddb,1,toc2cddb,^([0-9]\.[0-9\.]*)[^a-z]*$,a,andreas_mueller,cdrdao,\1,,,,,,,
,isodebug,1,isodebug,^([0-9]\.[0-9\.]+)[^a-z]*$,a,cdrtools,cdrecord,\1,,,,,,,
,scgcheck,1,scgcheck,^([0-9]\.[0-9\.]+)[^a-z]*$,a,cdrtools,cdrecord,\1,,,,,,,
,devdump,1,devdump,^([0-9]\.[0-9\.]+)[^a-z]*$,a,cdrtools,cdrecord,\1,,,,,,,
,isodump,1,isodump,^([0-9]\.[0-9\.]+)[^a-z]*$,a,cdrtools,cdrecord,\1,,,,,,,
,isovfy,1,isovfy,^([0-9]\.[0-9\.]+)[^a-z]*$,a,cdrtools,cdrecord,\1,,,,,,,
,kbxutil,1,kbxutil,^([0-9]\.[0-9\.]+)[^a-zA-Z]*$,a,gnupg,gnupg,\1,,,,,,,
,watchgnupg,1,watchgnupg,watchgnupg \(GnuPG\) ([0-9]\.[0-9\.]+)[^a-zA-Z]*$,a,gnupg,gnupg,\1,,,,,,,
,gpgsm,1,gpgsm,^([0-9]\.[0-9\.]+)[^a-zA-Z]*$,a,gnupg,gnupg,\1,,,,,,,
,gpgconf,1,gpgconf,^([0-9]\.[0-9\.]+)[^a-zA-Z]*$,a,gnupg,gnupg,\1,,,,,,,
,pinentry,1,pinentry.*,^([0-9]\.[0-9\.]+)[^a-zA-Z]*$,a,gentoo,app-crypt_pinentry,\1,,,,,,,
,qemu,1,qemu*,QEMU PC emulator version ([0-9]\.[0-9\.]+) .qemu.*,a,qemu,qemu,\1,,,,,,,
,eix,1,eix.*,\(eix ([0-9]\.[0-9\.]+)\),a,gentoo,linux_eix,\1,,,,,,,
,eix,1,eix,eix ([0-9]\.[0-9\.]+) ,a,gentoo,linux_eix,\1,,,,,,,
,dvipng,1,dvipng,dvipng ([0-9]\.[0-9]+),a,jan_ake-larsson,dvipng,\1,,,,,,,
,dvigif,1,dvigif,dvipng ([0-9]\.[0-9]+),a,jan_ake-larsson,dvipng,\1,,,,,,,
,pdfto,1,pdfto[a-z]*,^([0-9]\.[0-9\.]+)[^a-zA-Z]*$,a,poppler,poppler,\1,,,,,,,
,apr,1,apr.*,VERSION=.?([0-9]\.[0-9]\.[0-9]).?,a,apache,apr,\1,,,,,,,
,apu,1,apu.*,VERSION=.?([0-9]\.[0-9]\.[0-9]+).?,a,apache,apr-util,\1,,,,,,,
,saslauthd,1,saslauthd,^([0-9]\.[0-9]\.[0-9]+).*$,a,carnegie_mellon_university,cyrus-sasl,\1,,,,,,,
,bzcat,1,bzcat,   in the bzip2-([0-9][0-9]*(\.[0-9]+)+) source distribution.,a,bzip,bzip2,\1,,,,,,,
,bunzip2,1,bunzip2,   in the bzip2-([0-9][0-9]*(\.[0-9]+)+) source distribution.,a,bzip,bzip2,\1,,,,,,,
,bzip2recover,1,bzip2recover,bzip2recover ([0-9][0-9]*(\.[0-9]+)+): extracts blocks from damaged .bz2 files.,a,bzip,bzip2,\1,,,,,,,
,libbz2.so,1,libbz2.so.*,([0-9][0-9]*(\.[0-9]+)+). [0-9]*-.*,a,bzip,bzip2,\1,,,,,,,
,unzip,1,unzip,([0-9][0-9]*(\.[0-9]+)+),a,info-zip,unzip,\1,,,,,,,
,isoinfo,1,isoinfo,^([0-9][0-9]*(\.[0-9]+)+),a,cdrtools,cdrecord,\1,,,,,,,
,isoinfo,1,isoinfo,^([0-9][0-9]*(\.[0-9]+)+),a,cdrtools,cdrtools,\1,,,,,,,
